nteammrpd_s	459.28	-977.28	21.60	0.0	limbo
xm3_prop_xm3_glass_door_02a	450.31	-986.90	23.00	0.0	-
xm3_prop_xm3_glass_door_02a	448.31	-986.90	23.00	-180.0	-
1047203046	464.25	-988.11	22.80	90.0	-
1047203046	464.25	-990.71	22.80	-90.0	-
wgaragennteamsep	454.13	-994.85	21.85	0.0	area
1047203046	447.90	-998.26	23.00	90.0	area
1047203046	452.55	-998.26	23.00	90.0	area
1047203046	459.77	-998.26	23.00	90.0	area
1047203046	464.39	-998.26	23.00	90.0	area
1047203046	441.81	-994.81	23.00	180.0	area
1047203046	435.22	-994.81	23.00	180.0	area
1047203046	430.87	-989.01	23.00	90.0	area
wgaragennteamsep1	441.35	-997.55	21.85	0.0	area
wgaragennteamsep1	434.63	-997.55	21.85	0.0	area
1047203046	464.71	-992.56	22.80	-180.0	-
wgaragennteamsep3	446.24	-993.75	23.02	0.0	area
wnteammrpdprison	419.21	-998.35	21.85	0.0	area
wnteamevidence	459.66	-1000.59	21.85	0.0	area
wnteamsecprison	429.76	-994.89	23.00	0.0	-
1047203046	430.85	-991.57	23.00	90.0	-
nteam_mrpd_tamdoor	420.02	-992.86	23.01	90.4	-
nteam_mrpd_tamdoor	420.00	-990.29	23.01	89.5	-
wnteaminter1	469.73	-1010.49	22.99	0.0	int1
wnteaminter2	459.00	-1010.49	22.51	0.0	int2
wnteaminter1	447.05	-1010.48	23.00	0.0	int3
1047203046	447.91	-1006.11	23.00	90.0	-
1047203046	447.89	-1015.18	23.00	-90.0	-
1047203046	459.76	-1015.18	23.00	-90.0	-
1047203046	459.76	-1006.11	23.00	90.0	-
1047203046	452.50	-1006.10	23.00	90.0	-
1047203046	452.50	-1015.18	23.00	-90.0	-
1047203046	464.41	-1015.18	23.00	-90.0	-
1047203046	464.40	-1006.11	23.00	90.0	-
nteammrpdlogo	464.09	-955.71	33.75	-90.0	floor
fnteamdeskmonitors	474.75	-979.06	29.25	180.0	righthall
fnteamdeskmonitors	472.08	-979.93	29.25	0.0	righthall
fnteamdeskmonitors	472.99	-979.06	29.25	180.0	righthall
fnteamdeskmonitors	473.79	-979.93	29.25	0.0	righthall
fnteamdoubledesk	474.46	-978.62	28.51	0.0	righthall
fnteamdeskmonitors	471.83	-974.52	29.25	90.0	righthall
fnteamdeskmonitors	470.96	-975.31	29.25	-90.0	righthall
fnteamdoubledesk	470.52	-973.84	28.51	90.0	righthall
fnteamdeskmonitors	470.96	-973.55	29.25	-90.0	righthall
fnteamdeskmonitors	471.83	-976.23	29.25	90.0	righthall
fnteamdeskmonitors	474.71	-973.55	29.25	-90.0	righthall
fnteamdeskmonitors	474.71	-975.31	29.25	-90.0	righthall
fnteamdeskmonitors	475.58	-976.23	29.25	90.0	righthall
fnteamdeskmonitors	475.58	-974.52	29.25	90.0	righthall
fnteamdoubledesk	474.28	-973.84	28.51	90.0	righthall
fnteamdoubledesk	474.33	-968.97	28.51	0.0	righthall
fnteamdeskmonitors	473.66	-970.28	29.25	0.0	righthall
fnteamdeskmonitors	472.87	-969.40	29.25	180.0	righthall
fnteamdeskmonitors	471.95	-970.28	29.25	0.0	righthall
fnteamdeskmonitors	474.62	-969.40	29.25	180.0	righthall
3297809923	472.42	-968.56	29.83	0.0	righthall
3297809923	474.18	-968.55	29.83	0.0	righthall
3297809923	469.35	-973.58	29.85	85.0	righthall
3297809923	469.67	-975.46	29.85	85.0	righthall
4220543854	470.82	-969.53	29.86	-90.0	righthall
3269716226	470.82	-978.99	29.20	-90.0	righthall
2862225322	472.56	-966.96	29.25	0.0	righthall
342797216	477.78	-966.93	29.25	0.0	righthall
342797216	477.16	-966.93	29.25	0.0	righthall
342797216	476.53	-966.93	29.25	0.0	righthall
1995042965	473.79	-966.79	29.22	0.0	righthall
1995042965	475.02	-966.79	29.22	0.0	righthall
nteammrpdtv	474.69	-966.61	31.04	0.0	righthall
nteammrpdtv	473.33	-982.68	31.14	-180.0	righthall
3297809923	473.81	-975.45	29.85	85.0	righthall
3297809923	473.94	-973.90	29.85	85.0	righthall
3297809923	472.55	-973.91	29.85	-90.0	righthall
3297809923	472.55	-975.67	29.85	-90.0	righthall
3297809923	472.55	-978.23	29.85	-5.0	righthall
3297809923	474.30	-978.23	29.85	-5.0	righthall
3297809923	474.36	-980.88	29.85	-165.0	righthall
3297809923	472.83	-980.72	29.85	165.0	righthall
3297809923	472.45	-971.16	29.85	165.0	righthall
3297809923	474.35	-971.18	29.85	-175.0	righthall
3297809923	476.35	-973.95	29.85	-90.0	righthall
3297809923	476.46	-975.61	29.85	-90.0	righthall
1995042965	473.96	-982.37	29.22	-180.0	righthall
1995042965	472.72	-982.37	29.22	-180.0	righthall
3693043050	474.29	-982.40	30.09	-180.0	righthall
nteammrpdflag	471.77	-982.37	30.38	-180.0	righthall
1879489993	473.81	-982.40	30.11	-180.0	righthall
1879489993	472.36	-982.40	30.11	90.0	righthall
159474821	472.98	-982.40	30.23	-180.0	righthall
1636622991	470.82	-980.15	29.42	-90.0	righthall
176137803	471.65	-980.15	30.16	25.0	righthall
3750719837	477.91	-970.66	29.22	-90.0	righthall
nteammrpdflag	475.93	-966.95	30.39	-180.0	righthall
3419909833	469.16	-967.11	30.09	-90.0	righthall
3786866188	473.49	-966.66	31.85	0.0	righthall
3154984166	477.51	-979.59	28.92	90.0	righthall
3995460087	477.88	-975.78	29.25	-90.0	righthall
3644118571	477.85	-974.86	30.07	-90.0	righthall
1573132612	475.20	-966.79	30.29	0.0	righthall
3155124437	477.84	-976.23	30.93	-90.0	righthall
3898700932	477.85	-975.63	29.65	-90.0	righthall
3182894896	477.85	-975.17	29.60	-90.0	righthall
3849558395	470.82	-972.74	30.14	-90.0	righthall
478908889	471.68	-973.27	30.14	-90.0	righthall
4137142299	475.19	-974.55	31.86	-90.0	righthall
4137142299	471.51	-974.55	31.86	-90.0	righthall
4137142299	473.88	-969.79	31.86	-180.0	righthall
4137142299	473.88	-979.41	31.86	-180.0	righthall
557686077	475.50	-979.41	30.15	90.0	righthall
3861464315	476.07	-978.88	29.25	90.0	righthall
3861464315	472.18	-979.23	29.25	90.0	righthall
2374355453	477.80	-980.22	29.50	90.0	righthall
2374355453	477.80	-980.22	29.57	90.0	righthall
1806057883	471.01	-973.24	30.27	-90.0	righthall
4253927144	471.16	-973.52	30.18	-90.0	righthall
1551512929	471.19	-976.58	30.16	-50.0	righthall
3789885335	472.98	-982.40	30.15	-180.0	righthall
4062365023	477.78	-977.67	29.51	90.0	righthall
1430410579	477.84	-979.84	29.50	135.0	righthall
3552768664	477.91	-981.07	29.20	-90.0	righthall
3331467376	477.80	-980.22	29.98	90.0	righthall
3331467376	477.83	-980.40	29.98	90.0	righthall
3784993952	475.12	-982.68	30.83	-180.0	righthall
3861464315	475.08	-982.26	29.25	90.0	righthall
1141389967	475.08	-982.56	29.70	-180.0	righthall
1609935604	478.13	-968.47	30.37	90.0	righthall
2544783818	475.54	-973.10	30.15	65.0	righthall
3118505297	473.35	-978.69	30.18	25.0	righthall
2299126484	477.85	-976.43	29.92	-90.0	righthall
2811251951	471.49	-970.46	30.14	-90.0	righthall
2955338407	477.85	-975.78	30.10	-90.0	righthall
2955338407	477.85	-975.18	30.97	-90.0	righthall
2791821097	477.85	-975.54	30.97	-90.0	righthall
2791821097	477.85	-976.71	30.87	-90.0	righthall
3959978054	475.65	-972.88	30.15	65.0	righthall
495720653	475.42	-976.56	30.15	65.0	righthall
3893883483	475.58	-976.22	30.14	110.0	righthall
2172778310	475.27	-970.29	30.16	65.0	righthall
1580014892	477.80	-979.32	29.51	90.0	righthall
1580014892	477.80	-979.32	29.63	90.0	righthall
1580014892	477.80	-979.10	29.52	90.0	righthall
684330213	477.80	-978.69	30.15	90.0	righthall
684330213	477.80	-979.12	30.15	90.0	righthall
684330213	477.80	-979.56	30.15	90.0	righthall
684330213	477.80	-978.86	30.60	-180.0	righthall
1636622991	477.80	-979.41	30.59	-180.0	righthall
1110740384	471.49	-969.17	30.18	-90.0	righthall
2124444362	470.72	-976.58	30.15	-50.0	righthall
1843913879	469.16	-965.34	32.44	0.0	righthall
nteammrpdtv	464.72	-974.70	31.14	90.0	righthall
nteammrpdlobbyseat	454.92	-947.64	29.25	-90.0	mainhall
nteammrpdlobbyseat	457.05	-946.53	29.25	0.0	mainhall
nteammrpdlobbyseat	457.09	-966.23	29.25	0.0	mainhall
nteammrpdmemorial	450.54	-971.44	29.25	0.0	mainhall
nteammrpdlobbyseat	450.06	-963.23	29.25	0.0	mainhall
nteammrpdlobbyseat	450.06	-961.24	29.25	0.0	mainhall
nteammrpdlobbyseat	450.06	-951.74	29.25	0.0	mainhall
nteammrpdlobbyseat	450.06	-949.77	29.25	0.0	mainhall
4227061121	456.49	-965.84	29.14	90.0	mainhall
4227061121	455.54	-946.50	28.99	90.0	mainhall
2711129187	456.38	-945.83	29.34	90.0	mainhall
2711129187	456.58	-964.51	29.34	90.0	mainhall
2711129187	454.94	-965.89	29.34	90.0	mainhall
2658297013	455.60	-964.91	29.24	180.0	mainhall
2658297013	455.75	-946.57	29.19	5.0	mainhall
2711129187	455.05	-945.83	29.34	90.0	mainhall
4137142299	463.29	-955.74	36.77	-90.0	mainhall
3614566709	464.47	-955.74	31.57	-90.0	mainhall
1561304841	464.44	-953.36	33.13	-90.0	mainhall
1561304841	464.44	-955.62	33.13	-90.0	mainhall
1561304841	464.44	-957.94	33.13	-90.0	mainhall
nteammrpdlobbyseat	450.54	-943.34	29.25	0.0	mainhall
nteammrpdlobbyseat	450.59	-969.38	29.25	0.0	mainhall
nteammrpdlobbyseat	456.26	-963.90	29.25	90.0	mainhall
nteammrpdflag	450.77	-970.76	30.39	0.0	mainhall
nteammrpdflag	455.43	-970.76	30.39	0.0	mainhall
nteammrpdlogo	453.14	-971.38	30.61	-180.0	mainhall
4137142299	453.14	-971.21	32.38	0.0	mainhall
nteammrpdglasscab	450.53	-940.57	29.25	0.0	mainhall
nteammrpdped	453.16	-940.32	31.40	0.0	mainhall
1110740384	455.23	-940.28	30.42	75.0	mainhall
363691220	454.74	-940.31	30.41	40.0	mainhall
641508	454.52	-940.19	31.73	0.0	mainhall
1806057883	454.37	-940.30	30.52	10.0	mainhall
3733029957	455.02	-940.30	31.07	75.0	mainhall
3733029957	455.49	-940.30	31.07	85.0	mainhall
597152946	455.20	-940.19	30.74	0.0	mainhall
3926191763	455.26	-940.19	31.43	0.0	mainhall
3747585919	452.54	-940.29	30.94	0.0	mainhall
1141389967	453.71	-940.29	30.86	0.0	mainhall
3816559992	454.75	-940.28	31.06	-5.0	mainhall
2709416104	454.93	-940.21	32.00	-5.3	mainhall
1861974681	454.99	-940.30	30.42	65.0	mainhall
2057223314	455.25	-940.32	31.92	0.0	mainhall
2330564864	455.48	-940.26	30.53	-25.0	mainhall
2292071987	454.55	-940.28	30.40	0.4	mainhall
1257238301	454.52	-940.26	32.15	0.0	mainhall
4137142299	453.12	-940.58	32.33	0.0	mainhall
3789885335	455.18	-940.19	31.79	0.0	mainhall
3333788740	454.42	-940.28	31.06	5.0	mainhall
381158338	455.24	-940.30	31.07	0.0	mainhall
nteammrpdinfodispaly	464.59	-946.32	32.48	-90.0	mainhall
nteammrpdinfodispaly	464.59	-965.17	32.48	-90.0	mainhall
nteammrpdpicture6	464.73	-972.64	30.33	90.0	righthall
nteammrpdpicture2	464.73	-976.76	30.33	90.0	righthall
1284202985	464.65	-979.94	31.45	90.0	righthall
nteammrpdpicture8	464.73	-965.20	30.33	90.0	righthall
nteammrpdpicture9	469.17	-965.20	30.33	-90.0	righthall
nteammrpdpicture6	450.41	-968.76	30.61	90.0	mainhall
nteammrpdpicture5	450.41	-942.75	30.61	90.0	mainhall
nteammrpdpicture3	449.91	-962.87	30.61	90.0	mainhall
nteammrpdpicture9	449.91	-948.79	30.61	90.0	mainhall
fnteamdesk1	458.81	-935.08	29.25	0.0	confer
fnteamdesk1	458.81	-933.61	29.25	0.0	confer
fnteamdesk1	458.81	-932.13	29.25	0.0	confer
fnteamdesk1	458.98	-930.83	29.25	-90.0	confer
fnteamdesk1add	458.83	-930.83	30.08	0.0	confer
fnteamdesk1	461.77	-931.01	29.25	-180.0	confer
fnteamdesk1add	461.76	-930.84	30.08	-90.0	confer
fnteamdesk1	461.77	-932.48	29.25	-180.0	confer
fnteamdesk1	461.77	-933.95	29.25	-180.0	confer
fnteamdesk1	460.46	-930.83	29.25	-90.0	confer
fnteamdesk1	461.77	-935.42	29.25	-180.0	confer
fnteamdesk1	458.81	-936.56	29.25	0.0	confer
3297809923	462.74	-935.91	29.85	-90.0	confer
3297809923	462.77	-934.66	29.85	-90.0	confer
3297809923	462.90	-933.21	29.85	-90.0	confer
3297809923	462.90	-931.51	29.85	-90.0	confer
3297809923	461.03	-929.72	29.85	0.0	confer
3297809923	459.63	-929.69	29.85	0.0	confer
3297809923	457.68	-931.57	29.85	90.0	confer
3297809923	457.63	-933.08	29.85	90.0	confer
3297809923	457.76	-934.47	29.85	90.0	confer
3297809923	457.78	-936.01	29.85	90.0	confer
fnteammprdcab3	456.39	-932.37	29.25	90.0	confer
fnteammprdcab3	456.39	-935.31	29.25	90.0	confer
fnteammprdcab1	456.37	-938.94	29.25	90.0	confer
nteammrpdpicture1	455.73	-938.43	30.44	90.0	confer
fnteamdesk1	477.85	-940.18	29.25	-90.0	press
fnteamdesk1	476.39	-940.18	29.25	-90.0	press
fnteamdesk1	476.39	-937.95	29.25	-90.0	press
fnteamdesk1	477.85	-937.95	29.25	-90.0	press
fnteamdesk1	476.39	-935.82	29.25	-90.0	press
fnteamdesk1	477.85	-935.82	29.25	-90.0	press
fnteamdesk1	476.39	-933.43	29.25	-90.0	press
fnteamdesk1	477.85	-933.43	29.25	-90.0	press
fnteamdesk1	471.47	-940.18	29.25	-90.0	press
fnteamdesk1	472.95	-940.18	29.25	-90.0	press
fnteamdesk1	472.93	-937.95	29.25	-90.0	press
fnteamdesk1	471.47	-937.95	29.25	-90.0	press
fnteamdesk1	471.47	-935.82	29.25	-90.0	press
fnteamdesk1	472.93	-935.82	29.25	-90.0	press
fnteamdesk1	472.93	-933.43	29.25	-90.0	press
fnteamdesk1	471.47	-933.43	29.25	-90.0	press
3297809923	476.91	-932.22	29.85	0.0	press
3297809923	478.33	-931.79	29.85	0.0	press
3297809923	478.33	-934.45	29.85	0.0	press
3297809923	476.91	-934.17	29.85	0.0	press
3297809923	478.33	-936.82	29.85	0.0	press
3297809923	476.91	-936.92	29.85	0.0	press
3297809923	478.33	-939.17	29.85	0.0	press
3297809923	476.91	-939.14	29.85	0.0	press
3297809923	473.53	-939.03	29.85	0.0	press
3297809923	472.11	-939.01	29.85	0.0	press
3297809923	473.53	-937.06	29.85	0.0	press
3297809923	472.11	-936.94	29.85	0.0	press
3297809923	473.53	-933.91	29.85	0.0	press
3297809923	472.11	-934.89	29.85	0.0	press
3297809923	473.53	-932.36	29.85	0.0	press
3297809923	472.11	-931.76	29.85	0.0	press
nteammrpdflag	456.14	-939.67	30.38	90.0	confer
nteammrpdflag	464.12	-929.35	30.39	90.0	confer
3849558395	458.54	-933.11	30.12	-125.0	confer
2904008868	462.03	-934.66	30.11	90.0	confer
2904008868	458.47	-935.03	30.11	-115.0	confer
2904008868	462.03	-931.13	30.11	75.0	confer
2904008868	458.54	-931.84	30.11	-90.0	confer
3893883483	458.51	-935.63	30.11	-175.0	confer
2124444362	462.03	-935.42	30.12	180.0	confer
2124444362	459.44	-930.60	30.12	-105.0	confer
3118505297	461.06	-930.49	30.13	-175.0	confer
3118505297	458.65	-934.35	30.13	-175.0	confer
4161278897	461.44	-930.46	30.18	-175.0	confer
4161278897	462.10	-932.91	30.18	-175.0	confer
4161278897	458.59	-933.94	30.18	-175.0	confer
4161278897	458.71	-935.23	30.18	-175.0	confer
2006600278	458.47	-932.54	30.12	-175.0	confer
2006600278	461.98	-931.62	30.12	-175.0	confer
2006600278	461.94	-935.75	30.12	-175.0	confer
2006600278	458.44	-936.04	30.12	-175.0	confer
647955628	458.59	-931.08	30.17	-95.0	confer
647955628	461.95	-933.53	30.17	-95.0	confer
176137803	462.20	-933.28	30.12	95.0	confer
176137803	462.15	-931.84	30.13	95.0	confer
176137803	459.94	-930.53	30.13	-177.3	confer
176137803	458.47	-932.17	30.13	-100.0	confer
463086472	462.14	-931.64	30.12	113.1	confer
nteammrpdpicture9	464.49	-930.26	30.49	-90.0	confer
nteammrpdflag	456.14	-935.87	30.38	90.0	confer
nteammrpdpicture4	455.73	-937.31	30.44	90.0	confer
4137142299	460.32	-936.57	32.02	0.0	confer
4137142299	463.23	-933.48	32.02	90.0	confer
4137142299	457.41	-933.48	32.02	90.0	confer
4137142299	460.32	-930.39	32.02	0.0	confer
wnteammrpdlogohold	458.64	-930.71	32.60	160.5	confer
fnteammprdcab1	465.27	-975.85	29.25	90.0	righthall
2684801972	464.48	-929.98	30.09	-90.0	confer
3419909833	464.48	-930.49	30.09	-90.0	confer
336917068	464.13	-939.79	29.26	-180.0	confer
4075389019	477.63	-944.76	30.39	180.0	press
fnteammrpdpressdesk	475.84	-946.25	29.06	-180.0	press
3297809923	477.72	-945.49	30.05	-180.0	press
3297809923	476.41	-945.49	30.05	-180.0	press
3297809923	474.10	-945.49	30.05	-180.0	press
3297809923	472.80	-945.49	30.05	-180.0	press
4075389019	474.04	-944.76	30.39	180.0	press
4075389019	472.88	-944.76	30.39	180.0	press
4137142299	475.34	-944.28	32.28	-180.0	press
4137142299	475.34	-940.02	32.28	-180.0	press
4137142299	475.34	-937.92	32.28	-180.0	press
4137142299	475.34	-935.67	32.28	-180.0	press
4137142299	475.34	-933.28	32.23	-180.0	press
fnteammrpdspecinfo	469.16	-937.50	37.26	0.0	2ndunitmidhall
nteam_mrpd_lamp1	467.74	-939.32	40.66	0.0	2ndunitmidhall
fnteammprdcaptinfo	464.32	-929.23	32.97	0.0	floor
3297809923	466.63	-929.36	33.85	0.0	floor
3297809923	467.07	-938.22	37.85	0.0	2ndunitmidhall
fnteamofficerdeskmrpd	452.47	-930.06	33.27	-180.0	captain
2589710170	454.71	-932.48	33.88	-180.0	captain
fnteammrpdofficedesk	453.90	-935.56	33.24	-180.0	officeleft
fntammrpdrcyl1	450.32	-958.17	29.26	-90.0	mainhall
fntammrpdrcyl2	450.34	-953.54	29.26	-90.0	mainhall
fntammrpdrcyl2	464.07	-964.75	29.26	90.0	mainhall
fntammrpdrcyl1	464.07	-965.62	29.26	90.0	mainhall
fntammrpdrcyl2	464.09	-945.98	29.26	90.0	mainhall
fntammrpdrcyl1	464.09	-946.85	29.26	90.0	mainhall
fntammrpdoffcab2	478.10	-982.10	29.25	0.0	righthall
fntammrpdoffcab3	475.66	-982.10	29.25	0.0	righthall
fntammrpdoffcab1	470.77	-982.10	29.25	0.0	righthall
1797500920	471.13	-982.37	30.16	-180.0	righthall
fntammrpdoffcab3	470.60	-967.20	29.26	-180.0	righthall
fntammrpdoffcab2	470.70	-967.20	29.26	-180.0	righthall
3750719837	477.91	-973.21	29.22	-90.0	righthall
fntammrpdrcyl1	470.26	-982.10	29.26	0.0	righthall
fntammrpdrcyl2	469.92	-982.10	29.26	0.0	righthall
fnteammrpdwalldecor1	469.07	-951.96	29.28	180.0	mainhall
fnteammrpdwalldecor2	469.03	-957.14	29.28	180.0	mainhall
nteammrpdflag	472.15	-946.73	30.59	-180.0	press
nteammrpdflag	478.34	-946.61	30.59	-180.0	press
nteammrpdlogo	475.21	-944.01	29.66	-180.0	press
fntammrpdoffcab3	468.52	-953.12	29.27	90.0	mainhall
fntammrpdoffcab2	468.52	-958.36	29.27	90.0	mainhall
1995042965	468.76	-954.58	29.25	-90.0	mainhall
1995042965	468.76	-955.78	29.25	-90.0	mainhall
1995042965	468.76	-956.99	29.25	-90.0	mainhall
nteammrpdflag	468.76	-958.01	30.37	0.0	mainhall
nteammrpdplate	464.74	-961.14	33.06	-90.0	mainhall
nteammrpdplate	464.74	-950.39	33.06	-90.0	mainhall
nteammrpdplatetex18	464.74	-961.14	33.06	-90.0	mainhall
nteammrpdplatetex18	464.74	-950.39	33.06	-90.0	mainhall
nteammrpdplate	469.26	-961.14	32.90	-90.0	righthall
nteammrpdplatetex9	469.26	-961.14	32.90	-90.0	righthall
nteammrpdplate	465.89	-986.34	32.90	-180.0	righthall
